,wind_speed_10m,wind_speed_100m,wind_direction_100m,wind_mw
2019-01-01 00:00:00,18.792551,30.574575,257.7639,22036.0
2019-01-01 01:00:00,19.211996,31.072817,259.9921,22748.0
2019-01-01 02:00:00,21.915693,34.524353,258.57294,23870.0
2019-01-01 03:00:00,23.749088,37.066017,258.79922,25922.0
2019-01-01 04:00:00,25.729298,40.00538,254.33783,27429.0
2019-01-01 05:00:00,34.32105,52.753204,257.38638,29086.0
2019-01-01 06:00:00,30.096085,45.92364,264.60233,29905.0
2019-01-01 07:00:00,29.379177,44.96687,255.62996,30440.0
2019-01-01 08:00:00,29.598919,46.13762,253.68607,30200.0
2019-01-01 09:00:00,29.68636,46.38974,257.90524,31311.0
2019-01-01 10:00:00,29.237675,45.72425,262.76318,32990.0
2019-01-01 11:00:00,28.910038,45.05181,267.25195,33379.0
2019-01-01 12:00:00,30.602118,46.812458,271.32196,34172.0
2019-01-01 13:00:00,32.559605,50.564304,289.9832,34623.0
2019-01-01 14:00:00,32.305862,49.35152,285.65842,34728.0
2019-01-01 15:00:00,33.50128,51.328728,280.91583,35739.0
2019-01-01 16:00:00,35.455887,54.221546,284.2208,36283.0
2019-01-01 17:00:00,35.834015,54.646526,293.6942,36324.0
2019-01-01 18:00:00,34.32105,52.723717,287.07404,36045.0
2019-01-01 19:00:00,35.757988,55.782574,288.43503,36055.0
2019-01-01 20:00:00,35.757988,55.334705,289.37808,35922.0
2019-01-01 21:00:00,35.74711,55.156418,291.03757,34987.0
2019-01-01 22:00:00,34.63492,54.221542,292.64917,34698.0
2019-01-01 23:00:00,33.518684,52.330185,295.6836,32932.0
2019-01-02 00:00:00,32.042023,49.96743,299.33517,31614.0
2019-01-02 01:00:00,31.235058,49.130436,298.4428,30448.0
2019-01-02 02:00:00,29.651413,46.745968,302.09888,29532.0
2019-01-02 03:00:00,28.99062,46.060303,301.57812,29865.0
2019-01-02 04:00:00,31.062386,49.047276,305.43997,30777.0
2019-01-02 05:00:00,31.869658,50.40514,314.42133,31279.0
2019-01-02 06:00:00,31.902174,50.045177,322.3057,30781.0
2019-01-02 07:00:00,29.522196,47.040302,324.972,29750.0
2019-01-02 08:00:00,28.460497,45.56525,328.5705,28755.0
2019-01-02 09:00:00,29.144442,45.47414,336.68225,28243.0
2019-01-02 10:00:00,28.664682,42.67177,350.77615,28432.0
2019-01-02 11:00:00,22.545315,33.481934,343.12366,28726.0
2019-01-02 12:00:00,28.739187,42.021423,350.13425,28300.0
2019-01-02 13:00:00,27.897097,40.64175,341.40445,26490.0
2019-01-02 14:00:00,26.019806,39.20696,346.72934,24053.0
2019-01-02 15:00:00,25.071098,38.82162,341.06088,22674.0
2019-01-02 16:00:00,22.66857,36.2082,342.64587,21633.0
2019-01-02 17:00:00,23.584808,37.581657,350.628,19954.0
2019-01-02 18:00:00,23.110205,37.54543,345.564,17931.0
2019-01-02 19:00:00,22.884789,36.94168,344.7448,16526.0
2019-01-02 20:00:00,20.945072,34.97192,339.5129,15004.0
2019-01-02 21:00:00,19.486609,33.709534,340.0168,13593.0
2019-01-02 22:00:00,17.10284,30.962091,336.71393,12595.0
2019-01-02 23:00:00,14.003028,27.504093,322.98004,11954.0
2019-01-03 00:00:00,14.480773,28.515089,313.97705,11393.0
2019-01-03 01:00:00,13.479583,26.987997,313.91916,10986.0
2019-01-03 02:00:00,14.689588,29.03752,312.99045,11154.0
2019-01-03 03:00:00,16.279802,30.85307,311.68896,11767.0
2019-01-03 04:00:00,17.57744,32.138947,311.36694,12213.0
2019-01-03 05:00:00,18.39878,33.342297,307.98355,12600.0
2019-01-03 06:00:00,19.469976,34.98674,310.40936,12743.0
2019-01-03 07:00:00,20.380579,35.188046,311.68213,12675.0
2019-01-03 08:00:00,20.746122,35.90086,313.7812,12008.0
2019-01-03 09:00:00,21.986542,36.91185,314.60492,10253.0
2019-01-03 10:00:00,21.915691,35.406506,317.06012,8741.0
2019-01-03 11:00:00,19.878391,30.421598,309.71872,7856.0
2019-01-03 12:00:00,17.581125,26.478971,316.10162,7055.0
2019-01-03 13:00:00,15.815435,23.675303,314.38403,6420.0
2019-01-03 14:00:00,17.782688,25.872454,338.7907,6633.0
2019-01-03 15:00:00,12.496719,19.70815,350.53775,7602.0
2019-01-03 16:00:00,8.0899935,18.532133,335.9245,8925.0
2019-01-03 17:00:00,9.021574,21.288757,341.25854,9230.0
2019-01-03 18:00:00,9.504273,22.180206,346.86597,8892.0
2019-01-03 19:00:00,11.113451,24.535524,345.5559,8695.0
2019-01-03 20:00:00,10.829958,23.73271,350.39487,8280.0
2019-01-03 21:00:00,11.298495,23.936617,347.84506,7216.0
2019-01-03 22:00:00,10.163227,23.157824,348.34073,6599.0
2019-01-03 23:00:00,8.287822,19.353138,341.56494,6380.0
2019-01-04 00:00:00,8.161764,19.652176,331.55716,7212.0
